D 14:28:32.0436380 PowerTaskList.DebugDump() - Block Start=(null)
D 14:28:32.0436490 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 14:28:32.0436570 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 14:28:32.0436720 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 14:28:32.0436840 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 14:28:32.0436960 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 14:28:32.0437100 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=19283757]
D 14:28:32.0437210 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=64
D 14:28:32.0437310 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 14:28:32.0437410 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 14:28:32.0437510 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 14:28:32.0437600 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 14:28:32.0437710 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 14:28:32.0437800 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 14:28:32.0437930 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 14:28:32.0438020 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 14:28:32.0438280 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 14:28:32.0438400 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=[hi=144115198130930503 lo=27147029]
D 14:28:32.0438500 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=66
D 14:28:32.0438590 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 14:28:32.0438690 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 14:28:32.0438810 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
